device_id,street_marker,sign_plate_id,target_occupied,hour,dow,is_weekend,duration_min
23913,1581S,nan,1,8.0,3.0,0,0.85
23913,1581S,99.0,1,13.0,3.0,0,2.3
23913,1581S,99.0,0,15.0,3.0,0,6.166666666666667
23913,1581S,nan,1,17.0,3.0,0,1.1333333333333333
23913,1581S,12.0,0,19.0,3.0,0,6.35
23913,1581S,12.0,0,19.0,3.0,0,12.35
23913,1581S,nan,0,17.0,4.0,0,4.233333333333333
23913,1581S,nan,0,2.0,5.0,1,75.01666666666667
23913,1581S,nan,1,6.0,5.0,1,1.7166666666666666
23913,1581S,14.0,1,18.0,5.0,1,0.43333333333333335
23913,1581S,nan,1,0.0,6.0,1,97.55
23913,1581S,nan,1,3.0,6.0,1,2.433333333333333
23913,1581S,3.0,1,10.0,6.0,1,0.35
23913,1581S,99.0,1,10.0,3.0,0,0.2833333333333333
23913,1581S,nan,0,20.0,3.0,0,20.35
23913,1581S,nan,1,21.0,3.0,0,6.783333333333333
23913,1581S,nan,1,22.0,3.0,0,3.3333333333333335
23913,1581S,nan,1,23.0,3.0,0,8.166666666666666
23913,1581S,3.0,0,17.0,6.0,1,8.633333333333333
23913,1581S,nan,0,22.0,6.0,1,0.6666666666666666
23913,1581S,nan,0,16.0,0.0,0,145.8
23913,1581S,nan,0,9.0,1.0,0,10.516666666666667
23913,1581S,99.0,0,12.0,1.0,0,4.3
23913,1581S,99.0,1,12.0,1.0,0,55.516666666666666
23913,1581S,99.0,0,13.0,1.0,0,3.783333333333333
23913,1581S,99.0,1,9.0,2.0,0,9.966666666666667
23913,1581S,99.0,0,10.0,2.0,0,13.783333333333333
23913,1581S,12.0,1,19.0,2.0,0,2.1166666666666667
23913,1581S,12.0,0,20.0,3.0,0,9.033333333333333
23913,1581S,nan,0,1.0,4.0,0,0.23333333333333334
23913,1581S,nan,1,16.0,4.0,0,8.95
23913,1581S,12.0,0,19.0,4.0,0,2.5833333333333335
23913,1581S,nan,1,21.0,4.0,0,0.6666666666666666
23913,1581S,nan,1,1.0,5.0,1,91.71666666666667
23913,1581S,nan,0,6.0,6.0,1,40.2
23913,1581S,nan,0,2.0,0.0,0,0.13333333333333333
23913,1581S,99.0,1,15.0,0.0,0,12.466666666666667
23913,1581S,12.0,1,18.0,0.0,0,5.7
23913,1581S,12.0,0,20.0,0.0,0,0.9333333333333333
23913,1581S,nan,0,16.0,1.0,0,52.96666666666667
23913,1581S,nan,0,18.0,1.0,0,5.816666666666666
23913,1581S,nan,1,21.0,1.0,0,11.333333333333334
23913,1581S,99.0,1,12.0,3.0,0,0.26666666666666666
23913,1581S,14.0,0,19.0,5.0,1,35.483333333333334
23913,1581S,nan,0,23.0,6.0,1,16.65
23913,1581S,nan,0,18.0,0.0,0,6.65
23913,1581S,12.0,1,18.0,0.0,0,0.23333333333333334
23913,1581S,12.0,0,19.0,0.0,0,0.2
23913,1581S,nan,1,20.0,0.0,0,1.7166666666666666
23913,1581S,nan,1,22.0,0.0,0,1.8333333333333333
23913,1581S,nan,0,0.0,1.0,0,14.0
23913,1581S,nan,0,3.0,2.0,0,1.05
23913,1581S,nan,0,8.0,2.0,0,36.75
23913,1581S,99.0,1,15.0,4.0,0,1.9
23913,1581S,14.0,1,12.0,5.0,1,16.966666666666665
23913,1581S,14.0,1,14.0,5.0,1,6.85
23913,1581S,nan,1,21.0,5.0,1,1.4833333333333334
23913,1581S,nan,0,18.0,6.0,1,0.4166666666666667
23913,1581S,nan,1,6.0,0.0,0,2.2
23913,1581S,nan,1,16.0,0.0,0,0.7166666666666667
23913,1581S,nan,0,22.0,0.0,0,36.983333333333334
23913,1581S,nan,0,23.0,0.0,0,18.133333333333333
23913,1581S,nan,0,20.0,1.0,0,0.9666666666666667
23913,1581S,99.0,0,12.0,2.0,0,0.36666666666666664
23913,1581S,99.0,1,14.0,4.0,0,4.216666666666667
23913,1581S,nan,0,2.0,5.0,1,0.25
23913,1581S,14.0,1,14.0,5.0,1,12.616666666666667
23913,1581S,nan,0,23.0,5.0,1,0.35
23913,1581S,nan,0,23.0,5.0,1,5.683333333333334
23913,1581S,3.0,1,18.0,6.0,1,10.3
23913,1581S,nan,1,20.0,0.0,0,0.8666666666666667
23913,1581S,nan,0,23.0,0.0,0,40.916666666666664
23914,1896N,287.0,1,9.0,2.0,0,4.216666666666667
23914,1896N,508.0,1,18.0,2.0,0,14.833333333333334
23914,1896N,508.0,0,18.0,2.0,0,94.43333333333334
23914,1896N,287.0,0,15.0,3.0,0,4.85
23914,1896N,287.0,1,18.0,4.0,0,16.416666666666668
23914,1896N,nan,1,2.0,6.0,1,5.166666666666667
23914,1896N,287.0,1,10.0,0.0,0,11.55
23914,1896N,287.0,1,16.0,0.0,0,5.15
23914,1896N,287.0,0,8.0,1.0,0,0.18333333333333332
23914,1896N,287.0,1,11.0,2.0,0,38.86666666666667
23914,1896N,287.0,0,14.0,2.0,0,4.7
23914,1896N,287.0,0,16.0,2.0,0,0.2
23914,1896N,287.0,0,16.0,3.0,0,4.1
23914,1896N,287.0,0,17.0,4.0,0,29.95
23914,1896N,508.0,0,19.0,4.0,0,68.36666666666666
23914,1896N,nan,0,2.0,6.0,1,142.05
23914,1896N,3.0,0,14.0,6.0,1,0.26666666666666666
23914,1896N,3.0,0,16.0,6.0,1,2.466666666666667
23914,1896N,287.0,0,18.0,0.0,0,0.21666666666666667
23914,1896N,287.0,1,17.0,2.0,0,55.61666666666667
23914,1896N,nan,1,23.0,3.0,0,8.833333333333334
23914,1896N,287.0,1,18.0,4.0,0,4.95
23914,1896N,nan,1,20.0,4.0,0,157.4
23914,1896N,287.0,0,18.0,5.0,1,6.983333333333333
23914,1896N,508.0,1,19.0,2.0,0,30.916666666666668
23914,1896N,287.0,1,14.0,4.0,0,14.583333333333334
23914,1896N,287.0,0,18.0,4.0,0,2.15
23914,1896N,287.0,1,17.0,5.0,1,18.3
23914,1896N,287.0,1,14.0,0.0,0,10.766666666666667
23914,1896N,287.0,1,16.0,1.0,0,112.4
23914,1896N,287.0,1,7.0,2.0,0,1.5
23914,1896N,287.0,1,15.0,2.0,0,100.95
23914,1896N,508.0,0,18.0,2.0,0,120.0
23914,1896N,287.0,0,13.0,3.0,0,0.5333333333333333
23914,1896N,287.0,1,18.0,4.0,0,24.316666666666666
23914,1896N,nan,1,21.0,3.0,0,35.1
23914,1896N,nan,0,1.0,5.0,1,11.683333333333334
23914,1896N,287.0,1,8.0,5.0,1,1.0666666666666667
23914,1896N,287.0,0,12.0,5.0,1,12.633333333333333
23914,1896N,nan,1,18.0,6.0,1,218.06666666666666
23914,1896N,287.0,0,7.0,0.0,0,2.8333333333333335
23914,1896N,nan,0,5.0,3.0,0,41.63333333333333
23914,1896N,287.0,0,11.0,4.0,0,2.9833333333333334
23914,1896N,287.0,1,10.0,0.0,0,1.1666666666666667
23914,1896N,287.0,0,18.0,1.0,0,1.5333333333333334
23914,1896N,287.0,0,17.0,4.0,0,1.4166666666666667
23914,1896N,287.0,1,12.0,5.0,1,103.46666666666667
23914,1896N,3.0,0,16.0,6.0,1,5.6
23914,1896N,nan,0,23.0,0.0,0,36.06666666666667
23914,1896N,287.0,1,10.0,1.0,0,121.85
23914,1896N,287.0,1,16.0,1.0,0,23.033333333333335
23914,1896N,nan,0,20.0,1.0,0,210.0
23914,1896N,287.0,0,14.0,2.0,0,1.5833333333333333
23914,1896N,nan,1,6.0,3.0,0,29.45
23914,1896N,nan,1,2.0,5.0,1,9.133333333333333
23914,1896N,nan,0,22.0,6.0,1,33.45
23914,1896N,287.0,1,10.0,4.0,0,25.833333333333332
23914,1896N,287.0,1,17.0,4.0,0,2.433333333333333
23914,1896N,nan,0,23.0,4.0,0,9.233333333333333
23914,1896N,nan,0,0.0,5.0,1,25.1
23914,1896N,287.0,0,11.0,5.0,1,5.583333333333333
23914,1896N,nan,0,23.0,6.0,1,18.233333333333334
23914,1896N,287.0,1,9.0,0.0,0,8.05
23914,1896N,287.0,0,8.0,3.0,0,21.916666666666668
23914,1896N,nan,0,7.0,4.0,0,4.716666666666667
23914,1896N,287.0,1,7.0,4.0,0,7.85
23914,1896N,287.0,1,9.0,1.0,0,14.15
23914,1896N,nan,0,23.0,1.0,0,35.25
23914,1896N,287.0,1,8.0,2.0,0,3.0
23914,1896N,287.0,0,8.0,2.0,0,7.233333333333333
23914,1896N,287.0,1,18.0,3.0,0,1.7833333333333334
23914,1896N,508.0,1,18.0,4.0,0,21.966666666666665
23914,1896N,287.0,0,14.0,1.0,0,2.95
23914,1896N,287.0,0,7.0,2.0,0,77.1
23914,1896N,287.0,1,8.0,3.0,0,38.11666666666667
23914,1896N,287.0,1,14.0,3.0,0,2.3666666666666667
23914,1896N,287.0,0,12.0,4.0,0,1.2166666666666666
23914,1896N,508.0,1,20.0,4.0,0,25.933333333333334
23914,1896N,287.0,1,7.0,5.0,1,73.96666666666667
23914,1896N,287.0,0,13.0,5.0,1,1.0833333333333333
23914,1896N,3.0,0,10.0,6.0,1,8.15
23914,1896N,3.0,0,11.0,6.0,1,0.5
23914,1896N,nan,1,7.0,0.0,0,10.45
23914,1896N,287.0,0,16.0,0.0,0,7.266666666666667
23914,1896N,287.0,1,9.0,2.0,0,16.6
23914,1896N,287.0,1,13.0,2.0,0,77.21666666666667
23914,1896N,287.0,0,11.0,4.0,0,2.9
23914,1896N,287.0,0,15.0,4.0,0,0.15
23914,1896N,287.0,0,9.0,5.0,1,0.3333333333333333
23914,1896N,nan,0,18.0,6.0,1,0.4666666666666667
23914,1896N,nan,0,22.0,0.0,0,29.5
23914,1896N,287.0,1,14.0,3.0,0,6.216666666666667
23914,1896N,287.0,0,16.0,3.0,0,5.516666666666667
23914,1896N,287.0,0,7.0,4.0,0,25.116666666666667
23914,1896N,287.0,0,10.0,5.0,1,73.46666666666667
23914,1896N,287.0,0,11.0,5.0,1,0.3333333333333333
23914,1896N,287.0,0,17.0,0.0,0,1.9
23914,1896N,508.0,1,18.0,1.0,0,75.18333333333334
23914,1896N,nan,1,22.0,1.0,0,2.35
23914,1896N,287.0,1,9.0,2.0,0,14.866666666666667
23914,1896N,287.0,0,11.0,3.0,0,2.316666666666667
23914,1896N,287.0,0,16.0,5.0,1,4.166666666666667
23914,1896N,287.0,1,17.0,5.0,1,3.55
23914,1896N,3.0,1,7.0,6.0,1,305.98333333333335
23914,1896N,3.0,1,17.0,6.0,1,23.75
23914,1896N,287.0,1,9.0,0.0,0,7.9
23914,1896N,508.0,0,18.0,0.0,0,0.11666666666666667
23914,1896N,287.0,0,18.0,1.0,0,8.4
23914,1896N,287.0,1,7.0,2.0,0,3.8833333333333333
23914,1896N,nan,0,6.0,4.0,0,44.2
23914,1896N,287.0,0,14.0,4.0,0,1.4166666666666667
23914,1896N,287.0,1,16.0,1.0,0,111.93333333333334
23914,1896N,508.0,0,19.0,3.0,0,0.6333333333333333
23914,1896N,287.0,0,10.0,5.0,1,0.15
23914,1896N,287.0,1,16.0,5.0,1,91.3
23914,1896N,3.0,0,10.0,6.0,1,8.366666666666667
23914,1896N,287.0,1,16.0,0.0,0,7.083333333333333
23914,1896N,287.0,1,17.0,0.0,0,2.8333333333333335
23914,1896N,287.0,0,15.0,3.0,0,1.9333333333333333
23914,1896N,nan,1,0.0,5.0,1,176.96666666666667
23914,1896N,nan,1,6.0,5.0,1,83.9
23914,1896N,287.0,0,11.0,5.0,1,7.516666666666667
23914,1896N,3.0,0,7.0,6.0,1,29.583333333333332
23914,1896N,3.0,0,8.0,6.0,1,49.9
23914,1896N,287.0,0,16.0,1.0,0,26.183333333333334
23914,1896N,nan,1,20.0,1.0,0,0.4
23914,1896N,nan,0,21.0,2.0,0,92.2
23914,1896N,287.0,1,8.0,0.0,0,107.83333333333333
23914,1896N,nan,0,6.0,2.0,0,46.81666666666667
23914,1896N,287.0,1,8.0,2.0,0,30.166666666666668
23914,1896N,287.0,1,10.0,2.0,0,0.3
23914,1896N,287.0,0,17.0,5.0,1,16.533333333333335
23914,1896N,nan,1,20.0,5.0,1,2.8666666666666667
23914,1896N,287.0,1,17.0,0.0,0,34.53333333333333
23914,1896N,287.0,1,15.0,1.0,0,12.783333333333333
23914,1896N,287.0,1,9.0,2.0,0,47.8
23914,1896N,287.0,1,14.0,3.0,0,58.13333333333333
23914,1896N,287.0,0,17.0,3.0,0,5.916666666666667
23914,1896N,287.0,0,13.0,4.0,0,0.7833333333333333
23914,1896N,287.0,0,16.0,5.0,1,12.833333333333334
23914,1896N,3.0,1,8.0,6.0,1,46.71666666666667
23914,1896N,3.0,1,12.0,6.0,1,94.7
23914,1896N,nan,1,1.0,0.0,0,179.28333333333333
23914,1896N,508.0,1,20.0,1.0,0,4.066666666666666
23914,1896N,508.0,1,20.0,1.0,0,10.583333333333334
23914,1896N,287.0,0,18.0,2.0,0,1.9166666666666667
23914,1896N,508.0,0,19.0,3.0,0,0.2
23914,1896N,287.0,1,16.0,4.0,0,0.4666666666666667
23914,1896N,nan,1,20.0,4.0,0,137.93333333333334
23914,1896N,287.0,0,15.0,5.0,1,0.3333333333333333
23914,1896N,508.0,0,19.0,5.0,1,0.6333333333333333
23914,1896N,3.0,0,14.0,6.0,1,0.4
23914,1896N,287.0,0,8.0,0.0,0,4.0
23914,1896N,287.0,1,9.0,1.0,0,0.26666666666666666
23914,1896N,287.0,1,16.0,1.0,0,4.483333333333333
23914,1896N,287.0,0,13.0,3.0,0,22.666666666666668
23914,1896N,nan,1,0.0,4.0,0,31.4
23914,1896N,287.0,1,15.0,4.0,0,26.866666666666667
23914,1896N,287.0,0,12.0,5.0,1,24.833333333333332
23914,1896N,3.0,0,14.0,6.0,1,127.38333333333334
23914,1896N,nan,1,22.0,1.0,0,0.21666666666666667
23914,1896N,287.0,1,16.0,0.0,0,1.6666666666666667
23914,1896N,287.0,1,10.0,1.0,0,29.55
23914,1896N,287.0,1,17.0,1.0,0,33.766666666666666
23914,1896N,nan,1,23.0,1.0,0,17.233333333333334
23914,1896N,508.0,1,20.0,2.0,0,1.45
23914,1896N,287.0,1,10.0,3.0,0,38.63333333333333
23914,1896N,nan,0,22.0,4.0,0,5.666666666666667
23914,1896N,3.0,0,18.0,6.0,1,2.6666666666666665
23914,1896N,nan,0,6.0,0.0,0,0.2
23914,1896N,287.0,1,17.0,2.0,0,0.31666666666666665
23914,1896N,287.0,0,11.0,4.0,0,0.1
23914,1896N,nan,1,6.0,5.0,1,22.566666666666666
23914,1896N,287.0,1,16.0,5.0,1,0.2833333333333333
